symbol	baseMean	log2FoldChange	lfcSE	pvalue	padj
Wrnip1	3227.3302522509475	-0.031146641127243517	0.029676246306324507	0.1753232570576824	0.47736530386992737
Hmgcs1	17756.803785338336	0.03026957432513073	0.0279439730314063	0.17545847480598353	0.4776208776830332
Rab42	34.87512630779694	-0.026290838897597216	0.0830592302598604	0.1755288809618068	0.4776999470096297
Atpaf2	1991.8942835608918	-0.0313475077619042	0.030199015173091617	0.17571392097182878	0.4780908803827143
Egr1	2460.504565469581	-0.0329775218605297	0.036529240309473646	0.17594523068160595	0.4786074927867519
Eif4e	5647.616232865414	-0.030378379279810058	0.028218223104490407	0.17601512717695705	0.4786482248142278
Nfkbid	2042.8346046985612	0.032063729163060196	0.03220622310270672	0.17606261560831588	0.4786482248142278
Sgf29	1055.6058283548746	-0.033036470241903135	0.037248017541160174	0.17608452876499167	0.4786482248142278
Thra	618.6714706152982	-0.03310641053537675	0.04142168755000111	0.1761822262986277	0.47880110911744705
Fam126b	655.1196968174951	0.03309838174644503	0.040866694151125864	0.1764634492625888	0.4792270959282626
Gm32999	42.59356171390631	0.02614955828900872	0.08315635000916857	0.17641443828630551	0.4792270959282626
Fadd	556.8219093144094	-0.03293657959196976	0.044031811330709006	0.17645022291756354	0.4792270959282626
Snora68	80.47722957334918	0.029517118262381008	0.07098826501086569	0.1765856374424261	0.47933351644183825
Gm51714	112.15813638583647	0.03012651778624369	0.06767660889364766	0.1765764936632519	0.47933351644183825
Agrn	725.7142805104639	-0.03305240351052467	0.04150126728669128	0.17678078529864688	0.47941814848383424
Osbpl7	1082.6585241633554	0.032972168047210725	0.037134627898455834	0.1767593062429168	0.47941814848383424
Mis18bp1	2706.1810912384904	0.031886907670254226	0.031824661799656886	0.17676099665115094	0.47941814848383424
Ext1	471.29136618824566	-0.032867245476823397	0.04454770139287241	0.17678284799936364	0.47941814848383424
Ormdl1	1213.8121140996986	-0.032941765318659666	0.03714804334314077	0.17715070898134502	0.480302978576182
Srsf7	14270.608303007199	-0.02811539790586221	0.024728158955565828	0.1772605508862138	0.4804879987645551
Atxn2	2024.2979941344202	-0.03190578369353466	0.03202570777719288	0.17739273510521086	0.4807334796961955
Ltv1	3871.2620139871656	-0.03030943486104576	0.02833755236866009	0.17788633772239987	0.4819580578685711
Rasal1	463.17779780509517	0.032615063184932146	0.04614743808002991	0.17803472658193623	0.48214139717179777
Supt5	10450.935750753382	-0.02729991409304667	0.02369501638727403	0.17807923812423282	0.48214139717179777
Gm1976	343.9474697885232	0.032134132866841476	0.05074918559036127	0.1780567534742709	0.48214139717179777
Commd6	864.5745609811559	0.03296665903659433	0.039459648978378295	0.17815698430739021	0.4822388490157855
Gm22270	170.0341367434668	0.031076590350089837	0.05966362251561393	0.17833582465886436	0.4826098347727
LOC115486538	239.13019255672262	0.03126181203608521	0.05806938253816896	0.17841922687373676	0.4826415361210449
Scml4	463.5739596217465	0.03249981948244364	0.04696182722732368	0.1784365797259256	0.4826415361210449
Rbm3	8426.426245619768	0.031805178366263474	0.053336652132975754	0.17847290049982534	0.4826415361210449
Bckdha	448.2851865800234	-0.03262611111379966	0.04550865591049407	0.17857119447166345	0.48279431089600017
Tpi1	52392.74396628434	-0.02539165808379186	0.021402122247406234	0.17866491255323969	0.4829346454458035
Tspyl3	978.0397222412485	0.03278377343938228	0.03697516751764766	0.17892966197024368	0.4831244658696089
Dhrs7b	1363.2774247728273	0.03232742140850095	0.033999814780621196	0.1789140491392866	0.4831244658696089
Pecam1	438.988834463406	-0.03230154138592694	0.04842349293669386	0.1789624414345901	0.4831244658696089
Zfp397	1823.324410690134	0.03259070275519624	0.035333559540866755	0.17878752693230535	0.4831244658696089
Cxxc1	3645.405760044734	-0.030604918492826972	0.029080646851629557	0.17898611164121703	0.4831244658696089
Rpl10	27042.33409195217	-0.026926834009408738	0.023276090326211533	0.17887027235955472	0.4831244658696089
Kctd6	387.89123812586524	-0.03242830354095843	0.04711069817392662	0.1790619498981724	0.4832162432999746
Pom121l2	45.40548943296817	-0.026554080366029947	0.08097494897714463	0.17919977867117393	0.4834752262677082
Rmnd5a	6428.510740231523	-0.029548025226934928	0.027135277323541956	0.17925321574149822	0.4835064553513088
Bmp7	74.46573945879389	-0.028591928586925514	0.07380895766372904	0.17929593017607626	0.4835087540354146
Copg1	7964.782901329034	-0.026269740349641534	0.022496531829014635	0.1794187013327724	0.48361400242555924
Insl3	335.5262239356353	0.03209172025397389	0.04999896274957631	0.17938963678652667	0.48361400242555924
Sap130	3216.766592118721	-0.03191464132904729	0.0325685430261529	0.17950762233366865	0.48374079280305016
Tox	760.572485415214	-0.03283757867724832	0.03952492948792813	0.1797294723637148	0.48406054789400865
Ptcd3	4964.390848139563	-0.03001702816199273	0.02802877472935779	0.17972976241557545	0.48406054789400865
Ramp3	240.53312587637427	0.0316054279942235	0.05400555874876692	0.17975200778505657	0.48406054789400865
Tex9	1167.2959413030053	0.03262673201437923	0.03619467439272315	0.1798675965230595	0.4842589137159295
Arhgap19	3454.4813274175017	0.029743555599593432	0.02756013142964908	0.17995965709929337	0.4842809970868683
Pdzd8	4087.017026407431	0.029785175218842275	0.027629531050570484	0.17991981256047074	0.4842809970868683
Gxylt1	1817.2280682526373	0.03135073445409961	0.030999916072872565	0.18004561534819796	0.48428664584808717
Kif5b	7909.35235554494	-0.030115739576755306	0.028250602561994183	0.18000479893266383	0.48428664584808717
Mafk	1947.4484237459326	-0.032398124051938405	0.03480840536269975	0.18011439470900809	0.4843588495667156
